62,Bank,ID_JAWA_TENGAH_UUS,Bank Pembangunan Daerah Jawa Tengah Syariah (UUS),Xendit,payouts,1
63,Bank,ID_JAWA_TIMUR,Bank Pembangunan Daerah Jawa Timur,Xendit,payouts,1
64,Bank,ID_JAWA_TIMUR_UUS,Bank Pembangunan Daerah Jawa Timur Syariah (UUS),Xendit,payouts,1
65,Bank,ID_JPMORGAN,JP Morgan Chase Bank,Xendit,payouts,1
66,Bank,ID_JTRUST,Bank JTrust Indonesia (sebelumnya bernama Bank Mutiara),Xendit,payouts,1
67,Bank,ID_KALIMANTAN_BARAT,Bank Pembangunan Daerah Kalimantan Barat,Xendit,payouts,1
68,Bank,ID_KALIMANTAN_BARAT_UUS,Bank Pembangunan Daerah Kalimantan Barat Syariah (UUS),Xendit,payouts,1
69,Bank,ID_KALIMANTAN_SELATAN,Bank Pembangunan Daerah Kalimantan Selatan,Xendit,payouts,1
70,Bank,ID_KALIMANTAN_SELATAN_UUS,Bank Pembangunan Daerah Kalimantan Selatan Syariah (UUS),Xendit,payouts,1
71,Bank,ID_KALIMANTAN_TENGAH,Bank Pembangunan Daerah Kalimantan Tengah,Xendit,payouts,1
72,Bank,ID_KALIMANTAN_TIMUR,Bank Pembangunan Daerah Kalimantan Timur,Xendit,payouts,1
73,Bank,ID_KALIMANTAN_TIMUR_UUS,Bank Pembangunan Daerah Kalimantan Timur Syariah (UUS),Xendit,payouts,1
74,Bank,ID_LAMPUNG,Bank Pembangunan Daerah Lampung,Xendit,payouts,1
75,Bank,ID_MALUKU,Bank Pembangunan Daerah Maluku,Xendit,payouts,1
76,Bank,ID_MANDIRI,Bank Mandiri,Xendit,payouts,1
77,Bank,ID_MANDIRI_TASPEN,Mandiri Taspen Pos (sebelumnya bernama Bank Sinar Harapan Bali),Xendit,payouts,1
78,Bank,ID_MASPION,Bank Maspion Indonesia,Xendit,payouts,1
79,Bank,ID_MAYAPADA,Bank Mayapada International,Xendit,payouts,1
80,Bank,ID_MAYBANK,Bank Maybank,Xendit,payouts,1
